"stock_code","description","sales_2011","sales_growth_rate","relative_market_share","bcg_quadrant"
"22423",regency cakestand 3 tier,146614.78,-0.25932855151646284510,0.87027439965429964813,Cash Cow
"47566",party bunting,98296.59,0.95429359080802007883,0.58346781852630979120,Star
"85123A",white hanging heart t-light holder,93904.93,-0.38085463025544570423,0.55739985136784321919,Cash Cow
"85099B",jumbo bag red retrospot,90320.90,0.54386730804666152277,0.53612580548656849663,Star
"22086",paper chain kit 50's christmas,55726.49,-0.02643790272466059012,0.33078068684201778837,Cash Cow
"84879",assorted colour bird ornament,55109.06,-0.20654934070194873136,0.32711575263430316211,Cash Cow
"79321",chilli lights,46611.32,0.27372996104589916203,0.27667496094250832198,Cash Cow
"22386",jumbo bag pink polkadot,41432.03,3.4002805930901031,0.24593178828702626468,Star
"22720",set of 3 cake tins pantry design,36750.72,25.1074825775927597,0.21814451984215549868,Star
"22960",jam making set with jars,34404.60,5.5037542816958918,0.20421844653278692417,Star
"21137",black record cover frame,34357.59,0.05422198575227666247,0.20393940509148238020,Cash Cow
"20725",lunch bag red retrospot,34304.62,3.3804726187101437,0.20362498634768527972,Star
"85099F",jumbo bag strawberry,31695.45,-0.09723903472169608989,0.18813750373954707556,Cash Cow
"22178",victorian glass hanging t-light,31386.34,0.50643898978583417447,0.18630269199903127923,Star
"21931",jumbo storage bag suki,29186.69,-0.06501733550015072259,0.17324603370578430767,Cash Cow
"82484",wood black board ant white finish,29182.15,-0.13302844009795640922,0.17321908522368427301,Cash Cow
"22469",heart of wicker small,28714.35,0.28112366659067049592,0.17044232312535911524,Cash Cow
"22727",alarm clock bakelike red,28589.46,2.0477056493952978,0.16970100243604780922,Star
"22910",paper chain kit vintage christmas,27853.97,-0.17757312060167674402,0.16533528897795210531,Cash Cow
"22699",roses regency teacup and saucer,27528.86,1.49370749855290130832,0.16340550461329521765,Star
"22411",jumbo shopper vintage red paisley,26936.93,-0.14045302713721005331,0.15989193302530545570,Cash Cow
"22470",heart of wicker large,26837.49,-0.07652389528645921150,0.15930167816626857308,Cash Cow
"85099C",jumbo  bag baroque black white,26228.05,-0.17125386321417523517,0.15568417091273440431,Cash Cow
"22457",natural slate heart chalkboard,25971.05,0.14409911894273127753,0.15415867313746812481,Cash Cow
"22355",charlotte bag suki design,25677.14,0.49658451631855155515,0.15241408538988636526,Star
"22112",chocolate hot water bottle,25539.05,-0.14453134551734833708,0.15159441228565865889,Cash Cow
"22726",alarm clock bakelike green,25105.68,1.9084733274559165,0.14902201940290711202,Star
"20685",doormat red retrospot,25100.18,1.17758182573744450893,0.14898937256335861188,Star
"21175",gin + tonic diet metal sign,24966.71,0.53824177422018054696,0.14819712280435164564,Star
"22114",hot water bottle tea and sympathy,24875.73,-0.22786273711290286534,0.14765708472032936506,Cash Cow
"22666",recipe box pantry yellow design,24776.00,1.5507950643721591,0.14706510848247992516,Star
"22138",baking set 9 piece retrospot,24165.47,0.30429786528940384519,0.14344113121892614454,Cash Cow
