"cohort_month","month_number","retained_customers"
"2009-12",0,952
"2009-12",1,334
"2009-12",2,318
"2009-12",3,405
"2009-12",4,361
"2009-12",5,343
"2009-12",6,359
"2009-12",7,328
"2009-12",8,322
"2009-12",9,345
"2009-12",10,402
"2009-12",11,473
"2009-12",12,358
"2009-12",13,269
"2009-12",14,233
"2009-12",15,289
"2009-12",16,251
"2009-12",17,289
"2009-12",18,271
"2009-12",19,247
"2009-12",20,243
"2009-12",21,299
"2009-12",22,290
"2009-12",23,387
"2009-12",24,188
"2010-01",0,368
"2010-01",1,79
"2010-01",2,118
"2010-01",3,116
"2010-01",4,100
"2010-01",5,114
"2010-01",6,99
"2010-01",7,86
"2010-01",8,105
"2010-01",9,120
"2010-01",10,114
"2010-01",11,66
"2010-01",12,84
"2010-01",13,66
"2010-01",14,72
"2010-01",15,56
"2010-01",16,90
"2010-01",17,75
"2010-01",18,71
"2010-01",19,74
"2010-01",20,93
"2010-01",21,73
"2010-01",22,93
"2010-01",23,21
"2010-02",0,375
"2010-02",1,88
"2010-02",2,85
"2010-02",3,110
"2010-02",4,92
"2010-02",5,74
"2010-02",6,72
"2010-02",7,108
"2010-02",8,96
"2010-02",9,104
"2010-02",10,43
"2010-02",11,47
"2010-02",12,57
"2010-02",13,66
"2010-02",14,46
"2010-02",15,75
"2010-02",16,60
"2010-02",17,61
"2010-02",18,54
"2010-02",19,86
"2010-02",20,86
"2010-02",21,62
"2010-02",22,22
"2010-03",0,441
"2010-03",1,84
"2010-03",2,102
"2010-03",3,107
"2010-03",4,102
"2010-03",5,90
"2010-03",6,109
"2010-03",7,135
"2010-03",8,122
"2010-03",9,48
"2010-03",10,51
"2010-03",11,64
"2010-03",12,88
"2010-03",13,72
"2010-03",14,88
"2010-03",15,75
"2010-03",16,77
"2010-03",17,69
"2010-03",18,78
"2010-03",19,90
"2010-03",20,94
"2010-03",21,34
"2010-04",0,294
"2010-04",1,56
"2010-04",2,56
"2010-04",3,47
"2010-04",4,54
"2010-04",5,65
"2010-04",6,81
"2010-04",7,78
"2010-04",8,31
"2010-04",9,32
"2010-04",10,22
"2010-04",11,41
"2010-04",12,42
"2010-04",13,46
"2010-04",14,46
"2010-04",15,46
"2010-04",16,41
"2010-04",17,44
"2010-04",18,53
"2010-04",19,67
"2010-04",20,17
"2010-05",0,255
"2010-05",1,40
"2010-05",2,43
"2010-05",3,45
"2010-05",4,45
"2010-05",5,65
"2010-05",6,54
"2010-05",7,32
"2010-05",8,15
"2010-05",9,21
"2010-05",10,29
"2010-05",11,34
"2010-05",12,39
"2010-05",13,39
"2010-05",14,25
"2010-05",15,32
"2010-05",16,35
"2010-05",17,42
"2010-05",18,39
"2010-05",19,12
"2010-06",0,267
"2010-06",1,47
"2010-06",2,50
"2010-06",3,55
"2010-06",4,62
"2010-06",5,76
"2010-06",6,34
"2010-06",7,24
"2010-06",8,22
"2010-06",9,30
"2010-06",10,28
"2010-06",11,37
"2010-06",12,40
"2010-06",13,33
"2010-06",14,30
"2010-06",15,33
"2010-06",16,35
"2010-06",17,54
"2010-06",18,13
"2010-07",0,185
"2010-07",1,29
"2010-07",2,34
"2010-07",3,55
"2010-07",4,54
"2010-07",5,26
"2010-07",6,21
"2010-07",7,27
"2010-07",8,27
"2010-07",9,21
"2010-07",10,25
"2010-07",11,27
"2010-07",12,24
"2010-07",13,25
