"customer_id","recency_days","frequency","monetary_value","r_score","f_score","m_score","rfm_score_string","customer_segment"
"17592.0","738 days 02:01:00",1,148.30,1,1,1,"111",Hibernating
"17056.0","737 days 23:55:00",1,128.60,1,1,1,"111",Hibernating
"14654.0","737 days 23:53:00",1,246.86,1,1,1,"111",Hibernating
"13526.0","737 days 23:37:00",2,1182.00,1,2,3,"123",At-Risk
"17087.0","737 days 02:09:00",1,221.53,1,1,1,"111",Hibernating
"17818.0","737 days 01:16:00",1,130.18,1,1,1,"111",Hibernating
"15833.0","737 days 00:51:00",1,62.55,1,1,1,"111",Hibernating
"17909.0","736 days 23:40:00",1,132.55,1,1,1,"111",Hibernating
"17606.0","736 days 23:18:00",1,87.30,1,1,1,"111",Hibernating
"14106.0","736 days 22:41:00",1,214.80,1,1,1,"111",Hibernating
"14980.0","736 days 22:41:00",1,150.68,1,1,1,"111",Hibernating
"16301.0","736 days 02:30:00",1,107.33,1,1,1,"111",Hibernating
"14347.0","736 days 02:01:00",1,82.60,1,1,1,"111",Hibernating
"12934.0","736 days 01:59:00",1,181.65,1,1,1,"111",Hibernating
"15794.0","735 days 23:46:00",2,777.00,1,2,2,"122",Hibernating
"17271.0","735 days 23:01:00",1,210.39,1,1,1,"111",Hibernating
"14750.0","735 days 18:53:00",1,112.03,1,2,1,"121",Hibernating
"16645.0","735 days 03:01:00",1,160.39,1,1,1,"111",Hibernating
"16192.0","735 days 00:22:00",1,351.30,1,2,2,"122",Hibernating
"15999.0","735 days 00:19:00",1,20.40,1,1,1,"111",Hibernating
"14979.0","734 days 23:56:00",1,439.46,1,1,2,"112",Hibernating
"16541.0","734 days 23:28:00",1,424.03,1,1,2,"112",Hibernating
"17151.0","734 days 21:54:00",1,231.90,1,1,1,"111",Hibernating
"16410.0","733 days 21:59:00",1,130.32,1,1,1,"111",Hibernating
"16277.0","733 days 01:23:00",1,188.69,1,1,1,"111",Hibernating
"14468.0","733 days 00:29:00",1,204.24,1,1,1,"111",Hibernating
"16964.0","732 days 23:57:00",2,207.85,1,2,1,"121",Hibernating
"14717.0","732 days 23:45:00",1,81.30,1,1,1,"111",Hibernating
"15479.0","732 days 21:42:00",1,129.55,1,1,1,"111",Hibernating
"14123.0","732 days 21:15:00",1,436.18,1,1,2,"112",Hibernating
"14003.0","732 days 03:57:00",1,209.41,1,1,1,"111",Hibernating
"14955.0","732 days 01:15:00",1,163.77,1,1,1,"111",Hibernating
"13905.0","732 days 01:09:00",1,294.80,1,1,1,"111",Hibernating
"14574.0","732 days 00:08:00",1,143.70,1,2,1,"121",Hibernating
"18162.0","731 days 23:26:00",1,379.16,1,1,2,"112",Hibernating
"17441.0","731 days 23:18:00",1,293.35,1,1,1,"111",Hibernating
"12443.0","731 days 21:08:00",1,365.31,1,2,2,"122",Hibernating
"13025.0","731 days 02:48:00",1,323.39,1,1,1,"111",Hibernating
"15162.0","730 days 23:36:00",1,312.90,1,1,1,"111",Hibernating
"13204.0","730 days 21:54:00",1,966.66,1,1,3,"113",Other
"15924.0","730 days 21:50:00",1,102.82,1,1,1,"111",Hibernating
"17178.0","730 days 20:30:00",1,436.71,1,1,2,"112",Hibernating
"13114.0","730 days 02:54:00",1,234.38,1,1,1,"111",Hibernating
"12487.0","730 days 01:14:00",1,285.30,1,1,1,"111",Hibernating
"15302.0","729 days 23:39:00",1,308.00,1,1,1,"111",Hibernating
"17296.0","729 days 22:49:00",1,338.13,1,1,1,"111",Hibernating
"13498.0","729 days 21:24:00",1,327.38,1,1,1,"111",Hibernating
